IDBASE;LIBELLEFRANCAIS;GENRE;ESPECE;ADRESSE;TYPEEMPLACEMENT;DOMANIALITE;ARRONDISSEMENT;COMPLEMENTADRESSE;IDEMPLACEMENT;CIRCONFERENCE EN CM;HAUTEUR EN M;STADEDEVELOPPEMENT;PEPINIERE;VARIETE OU CULTIVAR;DATEPLANTATION;HORAIREPLANTATION;REMARQUABLE;Latitude;Longitude
132543.0;Platane;Platanus;orientalis;SQUARE MICHEL-FOUCAULT / 43Q RUE DES ECOLES;Arbre;Jardin;PARIS 5E ARRDT;;00000002;450.0;24.0;Mature;Inconnue;;1700-01-01;01:09:49;OUI;48,8493165016;2,3451863584
106181.0;Cedre;Cedrus;libani;SQUARE DE CHOISY;Arbre;Jardin;PARIS 13E ARRDT;13-03;00000357;351.0;25.0;Mature;Inconnue;;1700-01-01;01:09:49;OUI;48,8277560491;2,3592676406
125046.0;Noisetier de Byzance;Corylus;colurna;SQUARE JEAN XXIII / 2 QUAI DE L ARCHEVECHE;Arbre;Jardin;PARIS 4E ARRDT;04-04;000104001;210.0;19.0;Adulte;Inconnue;;1700-01-01;01:09:49;OUI;48,8527826174;2,3510160481
108277.0;Sequoia;Sequoia;sempervirens;JARDINS DU TROCADERO / 3 PLACE DE VARSOVIE;Arbre;Jardin;PARIS 16E ARRDT;Canton 10;001005001;184.0;16.0;Adulte;Inconnue;;1700-01-01;01:09:49;OUI;48,8624518436;2,2895909975
104841.0;Marronnier;Aesculus;hippocastanum;SQUARE RENE LE GALL;Arbre;Jardin;PARIS 13E ARRDT;13-01;00010270;360.0;15.0;Mature;Inconnue;;1894-01-01;01:09:21;OUI;48,8330296265;2,3506930818
2002351.0;Platane;Platanus;orientalis;PARC DE BAGATELLE - ALLEE DE LONGCHAMP / ROUTE DE SEVRES A NEUILLY;Arbre;Jardin;BOIS DE BOULOGNE;16-18;000701007;221.0;24.0;Mature;Inconnue;;1843-01-01;01:09:49;OUI;48,8704055251;2,2485211916
127516.0;Hêtre;Fagus;sylvatica;SQUARE DE LA BUTTE DU CHAPEAU ROUGE / 11 BOULEVARD D ALGERIE;Arbre;Jardin;PARIS 19E ARRDT;;00000004;276.0;21.0;Mature;Inconnue;''Atropunicea'';1700-01-01;01:09:49;OUI;48,8810210944;2,3992443131
162943.0;Platane;Platanus;x hispanica;CIMETIERE DU PERE LACHAISE / DIV 45;Arbre;CIMETIERE;PARIS 20E ARRDT;20-14;D00000045009;362.0;26.0;Mature;Inconnue;;1700-01-01;01:09:49;OUI;48,8612558560;2,3950502607
223748.0;Platane;Platanus;x hispanica;BOULEVARD DE CHARONNE;Arbre;Alignement;PARIS 20E ARRDT;148;001802036;407.0;23.0;Mature;Inconnue;;1700-01-01;01:09:49;OUI;48,8564741998;2,3946184790
2002394.0;Sequoia;Sequoiadendron;giganteum;JARDIN DU PRE CATELAN - CARREFOUR DE LA GRANDE CASCADE / CARREFOUR DE LA CROIX CATELAN;Arbre;Jardin;BOIS DE BOULOGNE;16-14;000501003;634.0;32.0;Adulte;Inconnue;;1872-01-01;01:09:49;OUI;48,8648179450;2,2526762440
