IDBASE;LIBELLEFRANCAIS;GENRE;ESPECE;ADRESSE;TYPEEMPLACEMENT;DOMANIALITE;ARRONDISSEMENT;COMPLEMENTADRESSE;IDEMPLACEMENT;CIRCONFERENCE EN CM;HAUTEUR EN M;STADEDEVELOPPEMENT;PEPINIERE;VARIETE OU CULTIVAR;DATEPLANTATION;HORAIREPLANTATION;REMARQUABLE;Latitude;Longitude
136321.0;Tulipier;Liriodendron;tulipifera;JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT;Arbre;Jardin;PARIS 16E ARRDT;;00040037;211.0;23.0;Adulte;Inconnue;;1700-01-01;01:09:49;OUI;48,8465006206;2,2522671738
128373.0;Hêtre;Fagus;sylvatica;SQUARE DU CLOS FEUQUIERES;Arbre;Jardin;PARIS 15E ARRDT;;00000002;130.0;5.0;Adulte;Inconnue;''Pendula'';1973-01-01;02:00:00;OUI;48,8363411221;2,2902094857
155948.0;Arbre a Gutta-Percha;Eucommia;ulmoides;CIMETIERE DU PERE LACHAISE / DIV 75;Arbre;CIMETIERE;PARIS 20E ARRDT;20-11;D00000075015;130.0;14.0;Adulte;Inconnue;;1700-01-01;01:09:49;OUI;48,8578039088;2,3957407845
2002398.0;Platane;Platanus;orientalis;ILE DU LAC INFERIEUR;Arbre;Jardin;BOIS DE BOULOGNE;16-04;000401001;380.0;26.0;Mature;Inconnue;;1859-01-01;01:09:49;OUI;48,8661272117;2,2625479308
123330.0;Erable;Acer;monspessulanum;JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT;Arbre;Jardin;PARIS 16E ARRDT;;00040005;209.0;16.0;Mature;Inconnue;;1700-01-01;01:09:49;OUI;48,8462426895;2,2513754059
135415.0;Plaqueminier;Diospyros;lotus;SQUARE DES BATIGNOLLES;Arbre;Jardin;PARIS 17E ARRDT;17-12;00000224;157.0;12.0;Adulte;Inconnue;;1700-01-01;01:09:49;OUI;48,8873178299;2,3170626751
158609.0;Chicot du Canada;Gymnocladus;dioica;CIMETIERE DU PERE LACHAISE / DIV 77;Arbre;CIMETIERE;PARIS 20E ARRDT;20-17;D00000077024;155.0;11.0;Adulte;Inconnue;''Variegata'';1700-01-01;01:09:49;OUI;48,8615163386;2,3990659818
102837.0;Sequoia;Sequoiadendron;giganteum;PARC DES BUTTES CHAUMONT;Arbre;Jardin;PARIS 19E ARRDT;19-04;K0660013;510.0;27.0;Mature;Inconnue;;1700-01-01;01:09:49;OUI;48,8797546767;2,3806631543
108281.0;Platane;Platanus;x hispanica;JARDINS DU TROCADERO / 3 PLACE DE VARSOVIE;Arbre;Jardin;PARIS 16E ARRDT;Canton 10;001004011;490.0;28.0;Mature;Inconnue;;1700-01-01;01:09:49;OUI;48,8626183113;2,2898042469
118790.0;Lilas de Perse;Melia;azedarach;SQUARE BOUCICAUT;Arbre;Jardin;PARIS 7E ARRDT;;00000031;130.0;10.0;Adulte;Inconnue;;1700-01-01;01:09:49;OUI;48,8513574712;2,3251319080
107696.0;Arbre a Gutta-Percha;Eucommia;ulmoides;JARDIN DU CHAMP DE MARS ET PELOUSES DE L ECOLE MILITAIRE;Arbre;Jardin;PARIS 7E ARRDT;Canton 06;P00607004;195.0;15.0;Adulte;Inconnue;;1700-01-01;01:09:49;OUI;48,8577724998;2,2972457561
2002361.0;Tulipier;Liriodendron;tulipifera;ILE DE BERCY / LAC DAUMESNIL;Arbre;Jardin;BOIS DE VINCENNES;12-09;12-09;220.0;21.0;Adulte;Inconnue;;1930-01-01;01:00:00;OUI;48,8319894005;2,4119924344
114166.0;Platane;Platanus;x hispanica;JARDIN DE L AVENUE FOCH / 10 AVENUE FOCH;Arbre;Jardin;PARIS 16E ARRDT;PELOUSE 08 - 34 a 44;000210037 / 16-29;445.0;21.0;Mature;Inconnue;;1700-01-01;01:09:49;OUI;48,8731340013;2,2867955043
2002390.0;Magnolia;Magnolia;grandiflora;BERGE DU LAC INFERIEUR - CHEMIN DE CEINTURE DU LAC INFERIEUR;Arbre;Jardin;BOIS DE BOULOGNE;16-05;000101001;200.0;14.0;Mature;Inconnue;;1863-01-01;01:09:49;OUI;48,8586730749;2,2583393555
2002368.0;Arbre aux quarante ecus;Ginkgo;biloba;ECOLE DE CHIENS GUIDE D AVEUGLES - AVENUE DE SAINT-MAURICE;Arbre;Jardin;BOIS DE VINCENNES;12-03;12-03;270.0;25.0;Mature;Inconnue;;1875-01-01;01:09:49;OUI;48,8336857764;2,4211119283
111640.0;Aulne;Alnus;n. sp.;SQUARE SAINT LAMBERT / 2 RUE JEAN FORMIGE;Arbre;Jardin;PARIS 15E ARRDT;15-02;000102018;225.0;18.0;Adulte;Inconnue;;1700-01-01;01:09:49;OUI;48,8428207399;2,2972872775
128154.0;Marronnier;Aesculus;hippocastanum;PELOUSES DE LA PLACE DU GENERAL CATROUX;Arbre;Jardin;PARIS 17E ARRDT;;00000013;385.0;26.0;Mature;Inconnue;;1700-01-01;01:09:49;OUI;48,8823316960;2,3102453913
125236.0;Libocedre;Calocedrus;decurrens;JARDIN DE LA GARE DE REUILLY - JULIEN LAUPRETRE / 6 RUE PAUL DUKAS;Arbre;Jardin;PARIS 12E ARRDT;12-33;000101001;205.0;20.0;Adulte;Inconnue;;1700-01-01;01:09:49;OUI;48,8408776987;2,3921128527
106662.0;Micocoulier;Celtis;occidentalis;JARDIN DU CHAMP DE MARS ET PELOUSES DE L ECOLE MILITAIRE;Arbre;Jardin;PARIS 7E ARRDT;Canton 09;P00907006;250.0;19.0;Mature;Inconnue;;1700-01-01;01:09:49;OUI;48,8552202311;2,3007824040
2002360.0;Plaqueminier;Diospyros;virginiana;ILE DE BERCY / LAC DAUMESNIL;Arbre;Jardin;BOIS DE VINCENNES;12-12;12-12;165.0;15.0;Adulte;Inconnue;;1935-01-01;01:00:00;OUI;48,8313828964;2,4114313613
2002355.0;Arbre aux mouchoirs;Davidia;involucrata;PARC DE BAGATELLE - ALLEE DE LONGCHAMP / ROUTE DE SEVRES A NEUILLY;Arbre;Jardin;BOIS DE BOULOGNE;16-20;000701006;120.0;15.0;Adulte;Inconnue;;1906-01-01;01:09:21;OUI;48,8732484628;2,2488787457
167762.0;If;Taxus;baccata;CIMETIERE DE MONTMARTRE / DIV 14;Arbre;CIMETIERE;PARIS 18E ARRDT;;D00000014007;295.0;11.0;Mature;Inconnue;;1700-01-01;01:09:49;OUI;48,8858144156;2,3301156142
2002370.0;Tulipier;Liriodendron;tulipifera;SQUARE CARNOT - AVENUE DAUMESNIL / ESPLANADE DU CHATEAU DE VINCENNES;Arbre;Jardin;BOIS DE VINCENNES;12-02;12-02;305.0;30.0;Mature;Inconnue;;1862-01-01;01:09:49;OUI;48,8394051605;2,4333744825
108095.0;Platane;Platanus;x hispanica;JARDIN DU CHAMP DE MARS ET PELOUSES DE L ECOLE MILITAIRE / SETE;Arbre;Jardin;PARIS 7E ARRDT;Canton 01 / SETE;P00108001;695.0;25.0;Mature;Inconnue;;1700-01-01;01:09:49;OUI;48,8578387601;2,2933187396
2002378.0;Erable;Acer;cappadocicum;PELOUSE DE FONTENAY - AVENUE DE LA BELLE GABRIELLE;Arbre;Jardin;BOIS DE VINCENNES;12-23;12-23;307.0;18.0;Mature;Inconnue;;1900-01-01;01:09:21;OUI;48,8409420689;2,4641321139
136794.0;Pterocarya;Pterocarya;fraxinifolia;JARDIN DU RANELAGH;Arbre;Jardin;PARIS 16E ARRDT;16-40;00040084;447.0;28.0;Mature;Inconnue;;1700-01-01;01:09:49;OUI;48,8600333815;2,2691346196
123848.0;Murier;Morus;alba;SQUARE DE LA TOUR SAINT JACQUES / 1 BIS RUE SAINT MARTIN;Arbre;Jardin;PARIS 4E ARRDT;;000103001;105.0;7.0;Adulte;Inconnue;;2009-01-01;02:00:00;OUI;48,8578670722;2,3481193034
127998.0;Frêne;Fraxinus;excelsior;SQUARE DE LA BUTTE DU CHAPEAU ROUGE / 11 BOULEVARD D ALGERIE;Arbre;Jardin;PARIS 19E ARRDT;19-01;00000509;385.0;24.0;Mature;Inconnue;;1700-01-01;01:09:49;OUI;48,8819364512;2,3982637653
116886.0;Noisetier de Byzance;Corylus;colurna;SQUARE DU TEMPLE / 50 RUE DE BRETAGNE;Arbre;Jardin;PARIS 3E ARRDT;03-05;000102007;226.0;25.0;Mature;Inconnue;;1700-01-01;01:09:49;OUI;48,8648374901;2,3606255360
112542.0;Pterocarya;Pterocarya;fraxinifolia;SQUARE LOUISE MICHEL / 6 PLACE SAINT PIERRE;Arbre;Jardin;PARIS 18E ARRDT;Talus du Funiculaire;000202004;419.0;28.0;Mature;Inconnue;;1700-01-01;01:09:49;OUI;48,8853019887;2,3427208936
2002352.0;If;Taxus;baccata;PARC DE BAGATELLE - ALLEE DE LONGCHAMP / ROUTE DE SEVRES A NEUILLY;Arbre;Jardin;BOIS DE BOULOGNE;16-21;000701001;246.0;15.0;Adulte;Inconnue;;1772-01-01;01:09:49;OUI;48,8709369341;2,2480344535
101752.0;Sophora;Sophora;japonica;PARC DES BUTTES CHAUMONT;Arbre;Jardin;PARIS 19E ARRDT;19-06;I1090024;408.0;12.0;Mature;Inconnue;;1700-01-01;01:09:49;OUI;48,8814687366;2,3836801258
102027.0;Marronnier;Aesculus;hippocastanum;PARC DES BUTTES CHAUMONT;Arbre;Jardin;PARIS 19E ARRDT;;G0380001;330.0;22.0;Mature;Inconnue;;1700-01-01;01:09:49;OUI;48,8800797215;2,3857095052
128372.0;Hêtre;Fagus;sylvatica;SQUARE DU CLOS FEUQUIERES;Arbre;Jardin;PARIS 15E ARRDT;;00000001;140.0;4.0;Adulte;Inconnue;''Pendula'';1973-01-01;02:00:00;OUI;48,8364250270;2,2901856318
110444.0;Hêtre;Fagus;sylvatica;PARC MONTSOURIS / 28 BOULEVARD JOURDAN;Arbre;Jardin;PARIS 14E ARRDT;Lac et Berges;041501007;150.0;5.0;Adulte;Inconnue;''Tortuosa'';1700-01-01;01:09:49;OUI;48,8233452352;2,3396834269
216766.0;Paulownia;Paulownia;tomentosa;RUE DE FURSTEMBERG;Arbre;Alignement;PARIS 6E ARRDT;;000101001;295.0;15.0;Mature;Guillot Bourne;;1999-01-25;02:00:00;OUI;48,8542732882;2,3357352547
302514.0;Sequoia;Sequoiadendron;giganteum;JARDINS DES CHAMPS ELYSEES - JARDIN DES AMBASSADEURS / 10 AVENUE DES CHAMPS ELYSEES;Arbre;Jardin;PARIS 8E ARRDT;Secteur Ambassadeurs;000103001;360.0;19.0;Mature;Inconnue;;1700-01-01;01:09:49;OUI;48,8669754580;2,3195152170
135378.0;Platane;Platanus;orientalis;SQUARE DES BATIGNOLLES;Arbre;Jardin;PARIS 17E ARRDT;17-08;00000187;468.0;30.0;Mature;Inconnue;;1700-01-01;01:09:49;OUI;48,8875264747;2,3161787542
134212.0;Tulipier;Liriodendron;tulipifera;SQUARE DES EPINETTES;Arbre;Jardin;PARIS 17E ARRDT;17-03;00000134;253.0;18.0;Adulte;Inconnue;;1700-01-01;01:09:49;OUI;48,8946228565;2,3268523785
123071.0;Metasequoia;Metasequoia;glyptostroboides;SQUARE DE LA VILLA SAINTE CROIX / 10 VILLA SAINTE CROIX;Arbre;Jardin;PARIS 17E ARRDT;;000101005;250.0;19.0;Mature;Inconnue;;1995-04-01;03:00:00;OUI;48,8939378118;2,3244386679
125051.0;Tamaris;Tamarix;n. sp.;SQUARE JEAN XXIII / 2 QUAI DE L ARCHEVECHE;Arbre;Jardin;PARIS 4E ARRDT;;000102002;230.0;3.0;Mature;Inconnue;;1700-01-01;01:09:49;OUI;48,8523548437;2,3518099174
2002347.0;Cypres Chauve;Taxodium;distichum;GRANDE CASCADE - CARREFOUR DE LONGCHAMP;Arbre;Jardin;BOIS DE BOULOGNE;16-07;000301001;311.0;28.0;Mature;Inconnue;;1859-01-01;01:09:49;OUI;48,8632631610;2,2407247638
2002357.0;Platane;Platanus;x hispanica;ROUTE DE LA CEINTURE DU LAC DAUMESNIL;Arbre;Jardin;BOIS DE VINCENNES;12-30;12-30;510.0;27.0;Mature;Inconnue;;1871-01-01;01:09:49;OUI;48,8292532091;2,4131820587
134435.0;Marronnier;Aesculus;hippocastanum;JARDIN ANNE FRANCK / 14 IMPASSE BERTHAUD;Arbre;Jardin;PARIS 3E ARRDT;;000101001;76.0;8.0;Jeune (arbre);Inconnue;;2006-01-01;02:00:00;OUI;48,8614740968;2,3543747057
2002367.0;Noyer;Juglans;nigra;ROUTE DE LA CEINTURE DU LAC DAUMESNIL - LAC DAUMESNIL / PORTE DOREE;Arbre;Jardin;BOIS DE VINCENNES;12-04;12-04;590.0;26.0;Adulte;Inconnue;;1845-01-01;01:09:49;OUI;48,8334358135;2,4127979367
132479.0;Orme de Siberie;Zelkova;carpinifolia;SQUARE SAMUEL PATY / 3 PLACE PAUL PAINLEVE;Arbre;Jardin;PARIS 5E ARRDT;05-04;000101002;250.0;20.0;Mature;Inconnue;;1700-01-01;01:09:49;OUI;48,8499464732;2,3442238573
323350.0;Pterocarya;Pterocarya;fraxinifolia;SQUARE D''ESTIENNE D''ORVES;Arbre;Jardin;PARIS 9E ARRDT;09-01;00000050;340.0;26.0;Mature;Inconnue;;1700-01-01;01:09:49;OUI;48,8767091018;2,3319298814
113353.0;Sequoia;Sequoia;sempervirens;PARC MONTSOURIS / 28 BOULEVARD JOURDAN;Arbre;Jardin;PARIS 14E ARRDT;Volcan / Puits;0311D1001;360.0;20.0;Mature;Inconnue;;1700-01-01;01:09:49;OUI;48,8220251000;2,3362770386
121923.0;Marronnier;Aesculus;hippocastanum;SQUARE EDOUARD VAILLANT / 50 AVENUE GAMBETTA;Arbre;Jardin;PARIS 20E ARRDT;20-04;000102006;380.0;26.0;Mature;Inconnue;;1700-01-01;01:09:49;OUI;48,8650355075;2,4009317594
305507.0;Erable;Acer;pseudoplatanus;PARC MONCEAU;Arbre;Jardin;PARIS 8E ARRDT;08-01;00NO0144;427.0;28.0;Mature;Inconnue;;1700-01-01;01:09:49;OUI;48,8787029872;2,3064741737
2002346.0;Platane;Platanus;x hispanica;PARC DE BAGATELLE - ALLEE DE LONGCHAMP / ROUTE DE SEVRES A NEUILLY;Arbre;Jardin;BOIS DE BOULOGNE;16-19;000701005;500.0;40.0;Mature;Inconnue;;1847-01-01;01:09:49;OUI;48,8692243438;2,2460170410
113571.0;Pistachier;Pistacia;terebinthus;JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT;Arbre;Jardin;PARIS 16E ARRDT;;00060050;171.0;10.0;Adulte;Inconnue;;1700-01-01;01:09:49;OUI;48,8459042630;2,2530267641
107079.0;Lilas de Perse;Melia;azedarach;JARDIN DU CHAMP DE MARS ET PELOUSES DE L ECOLE MILITAIRE;Arbre;Jardin;PARIS 7E ARRDT;Canton 04;P00411006;136.0;10.0;Adulte;Inconnue;;1700-01-01;01:09:49;OUI;48,8557017910;2,2963743374
2009236.0;Catalpa;Catalpa;bignonioides;TIR AU PIGEON / 32 ROUTE DE L ETOILE;Arbre;Jardin;BOIS DE BOULOGNE;16-62;001301001;397.0;14.0;Mature;Inconnue;;1910-01-01;01:09:21;OUI;48,8740821646;2,2591649741
235972.0;Tilleul;Tilia;tomentosa;PLACE DE LA BATAILLE DE STALINGRAD;Arbre;Alignement;PARIS 19E ARRDT;19-05;000103001;215.0;23.0;Mature;Inconnue;;1945-01-01;02:00:00;OUI;48,8830293243;2,3700627972
112897.0;Platane;Platanus;x hispanica;PARC MONTSOURIS / 28 BOULEVARD JOURDAN;Arbre;Jardin;PARIS 14E ARRDT;Talus du Lac;0417B1018;375.0;20.0;Mature;Inconnue;;1700-01-01;01:09:49;OUI;48,8241339366;2,3379656974
2013640.0;Amandier;Prunus;dulcis;LES PLATEAUX SAUVAGES / 7 RUE DES PLATRIERES;Arbre;DAC;PARIS 20E ARRDT;;000101001;240.0;9.0;Mature;Inconnue;;2000-01-01;02:00:00;OUI;48,8678069026;2,3888341490
2002387.0;Sequoia;Sequoiadendron;giganteum;ROUTE DE LA PORTE SAINT-JAMES;Arbre;Jardin;BOIS DE BOULOGNE;16-12;001001001;335.0;28.0;Mature;Inconnue;;1850-01-01;01:09:49;OUI;48,8764740798;2,2574997551
2009036.0;Saule;Salix;babylonica;ETANG DE SURESNES / ROUTE DE SURESNES - ROUTE DES MOULINS;Arbre;Jardin;BOIS DE BOULOGNE;16-61;000201001;285.0;10.0;Mature;Inconnue;;1901-01-01;01:09:21;OUI;48,8648104138;2,2337060200
104839.0;Chêne;Quercus;cerris;SQUARE RENE LE GALL;Arbre;Jardin;PARIS 13E ARRDT;13-04;00010268;140.0;15.0;Adulte;Inconnue;;1700-01-01;01:09:49;OUI;48,8330206707;2,3499152706
109016.0;Magnolia;Magnolia;grandiflora;SQUARE D AJACCIO / 127 RUE DE GRENELLE;Arbre;Jardin;PARIS 7E ARRDT;07-10;000202001;155.0;13.0;Adulte;Inconnue;;1700-01-01;01:09:49;OUI;48,8574173085;2,3147251174
136310.0;Pterocarya;Pterocarya;stenoptera;JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT;Arbre;Jardin;PARIS 16E ARRDT;;00040026;560.0;30.0;Mature;Inconnue;;1905-01-01;01:09:21;OUI;48,8471467440;2,2519835372
136446.0;Sterculier;Firmiana;simplex;JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT;Arbre;Jardin;PARIS 16E ARRDT;;00030001;133.0;12.0;Adulte;Inconnue;;1700-01-01;01:09:49;OUI;48,8476114157;2,2531430076
136338.0;Chêne;Quercus;suber subsp. Occidentalis;JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT;Arbre;Jardin;PARIS 16E ARRDT;;00040054;234.0;11.0;Mature;Inconnue;;1895-01-01;01:09:21;OUI;48,8471733403;2,2528661441
114140.0;Orme de Siberie;Zelkova;carpinifolia;JARDIN DE L AVENUE FOCH / 10 AVENUE FOCH;Arbre;Jardin;PARIS 16E ARRDT;PELOUSE 05 - 54 a 68;000404059 / 16-26;426.0;26.0;Mature;Inconnue;;1700-01-01;01:09:49;OUI;48,8726417620;2,2813640286
108183.0;Hêtre;Fagus;sylvatica;JARDIN DU CHAMP DE MARS ET PELOUSES DE L ECOLE MILITAIRE / SETE;Arbre;Jardin;PARIS 7E ARRDT;Canton 03 / SETE;P00306006;205.0;6.0;Adulte;Inconnue;''Pendula'';1700-01-01;01:09:49;OUI;48,8587536797;2,2954992543
113328.0;Hêtre;Fagus;sylvatica;PARC MONTSOURIS / 28 BOULEVARD JOURDAN;Arbre;Jardin;PARIS 14E ARRDT;Grande pelouse;031302006;400.0;20.0;Mature;Inconnue;''Riversii'';1700-01-01;01:09:49;OUI;48,8226040554;2,3367012189
2002365.0;Platane;Platanus;x hispanica;ILE DE BERCY / LAC DAUMESNIL;Arbre;Jardin;BOIS DE VINCENNES;12-07;12-07;410.0;35.0;Mature;Inconnue;;1860-01-01;01:09:49;OUI;48,8322968473;2,4106783229
2017817.0;Chêne;Quercus;cerris;PLACE DE LA REPUBLIQUE;Arbre;Alignement;PARIS 10E ARRDT;;000401009;51.0;7.0;Jeune (arbre);Guillot Bourne;;2017-11-09;02:00:00;OUI;48,8682954419;2,3631894361
2002397.0;Cypres Chauve;Taxodium;distichum;BERGE DU LAC INFERIEUR - CHEMIN DE CEINTURE DU LAC INFERIEUR;Arbre;Jardin;BOIS DE BOULOGNE;16-03;000101003;354.0;32.0;Mature;Inconnue;;1862-01-01;01:09:49;OUI;48,8606050739;2,2597770494
111642.0;Erable;Acer;saccharinum;SQUARE SAINT LAMBERT / 2 RUE JEAN FORMIGE;Arbre;Jardin;PARIS 15E ARRDT;15-04;000102015;240.0;20.0;Adulte;Inconnue;;1700-01-01;01:09:49;OUI;48,8427836654;2,2968613313
126662.0;Platane;Platanus;x hispanica;SQUARE THOMAS JEFFERSSON;Arbre;Jardin;PARIS 16E ARRDT;;00000012;151.0;13.0;Adulte;Inconnue;;1700-01-01;01:09:49;OUI;48,8682621216;2,2935322548
152606.0;Cedre;Cedrus;libani;CIMETIERE DU PERE LACHAISE / DIV 4;Arbre;CIMETIERE;PARIS 20E ARRDT;20-16;D00000004036;372.0;25.0;Mature;Inconnue;;1700-01-01;01:09:49;OUI;48,8608096279;2,3918437756
147672.0;Marronnier;Aesculus;hippocastanum;CIMETIERE DU PERE LACHAISE / DIV 76;Arbre;CIMETIERE;PARIS 20E ARRDT;20-15;D00000076032;347.0;22.0;Mature;Inconnue;;1700-01-01;01:09:49;OUI;48,8597425245;2,3999831364
114685.0;Murier;Morus;nigra;JARDIN DE L AVENUE FOCH / 10 AVENUE FOCH;Arbre;Jardin;PARIS 16E ARRDT;PELOUSE 14 - 11 a 27;000103010;169.0;8.0;Mature;Inconnue;;1700-01-01;01:09:49;OUI;48,8729000638;2,2905654047
113547.0;Platane;Platanus;x hispanica;PARC MONTSOURIS / 28 BOULEVARD JOURDAN;Arbre;Jardin;PARIS 14E ARRDT;Plateau Baigneuses;0420A1001;610.0;25.0;Mature;Inconnue;;1700-01-01;01:09:49;OUI;48,8227147039;2,3386884142
132669.0;Hêtre;Fagus;sylvatica;SQUARE DES ARENES DE LUTECE;Arbre;Jardin;PARIS 5E ARRDT;;00000075;90.0;3.0;Mature;Inconnue;''Tortuosa'';1905-01-01;01:09:21;OUI;48,8448875264;2,3536691632
2002393.0;Hêtre;Fagus;sylvatica;PETITE ILE DU LAC INFERIEUR;Arbre;Jardin;BOIS DE BOULOGNE;16-11;000801001;200.0;10.0;Mature;Inconnue;''Pendula'';1857-01-01;01:09:49;OUI;48,8613685289;2,2589879436
201570.0;Hêtre;Fagus;sylvatica;STADE DE LA PORTE DE LA MUETTE / 60 BOULEVARD LANNES;Arbre;DJS;PARIS 16E ARRDT;16-38;470306001;320.0;15.0;Mature;Inconnue;;1700-01-01;01:09:49;OUI;48,8642003629;2,2679603725
112222.0;Micocoulier;Celtis;australis;SQUARE SAINT LAMBERT / 2 RUE JEAN FORMIGE;Arbre;Jardin;PARIS 15E ARRDT;15-05;000303005;225.0;18.0;Adulte;Inconnue;;1700-01-01;01:09:49;OUI;48,8426413167;2,2960911081
155788.0;Plaqueminier;Diospyros;lotus;CIMETIERE DU PERE LACHAISE / DIV 77;Arbre;CIMETIERE;PARIS 20E ARRDT;20-01;D00000077016;111.0;12.0;Adulte;Inconnue;;1700-01-01;01:09:49;OUI;48,8620845688;2,3985769149
132542.0;Platane;Platanus;orientalis;SQUARE MICHEL-FOUCAULT / 43Q RUE DES ECOLES;Arbre;Jardin;PARIS 5E ARRDT;;00000001;395.0;24.0;Mature;Inconnue;;1700-01-01;01:09:49;OUI;48,8493511595;2,3450329278
2002391.0;Arbre aux quarante ecus;Ginkgo;biloba;BERGE DU LAC INFERIEUR - CHEMIN DE CEINTURE DU LAC INFERIEUR;Arbre;Jardin;BOIS DE BOULOGNE;16-01;000101002;210.0;17.0;Mature;Inconnue;;1893-01-01;01:09:49;OUI;48,8629082876;2,2615703461
106981.0;Arbre aux quarante ecus;Ginkgo;biloba;PARC MONTSOURIS / 28 BOULEVARD JOURDAN;Arbre;Jardin;PARIS 14E ARRDT;Flatters;031401018;340.0;20.0;Mature;Inconnue;;1700-01-01;01:09:49;OUI;48,8229510204;2,3374722493
134203.0;Marronnier;Aesculus;pavia;SQUARE DES EPINETTES;Arbre;Jardin;PARIS 17E ARRDT;17-04;00000125;296.0;21.0;Mature;Inconnue;;1700-01-01;01:09:49;OUI;48,8940926568;2,3263319162
109021.0;Platane;Platanus;x hispanica;SQUARE D AJACCIO / 127 RUE DE GRENELLE;Arbre;Jardin;PARIS 7E ARRDT;07-13;000201005;480.0;25.0;Mature;Inconnue;;1700-01-01;01:09:49;OUI;48,8577757733;2,3145304731
302598.0;Platane;Platanus;x hispanica;JARDINS DES CHAMPS ELYSEES - ABORDS OUEST DU GRAND PALAIS / 7 AVENUE WINSTON CHURCHILL;Arbre;Jardin;PARIS 8E ARRDT;Secteur Grand Palais;000109003;583.0;29.0;Mature;Inconnue;;1700-01-01;01:09:49;OUI;48,8652478020;2,3133517524
106715.0;Plaqueminier;Diospyros;kaki;JARDIN DU CHAMP DE MARS ET PELOUSES DE L ECOLE MILITAIRE;Arbre;Jardin;PARIS 7E ARRDT;Canton 09;P00905010;118.0;14.0;Adulte;Inconnue;;1700-01-01;01:09:49;OUI;48,8558049513;2,3003029331
121632.0;Hêtre;Fagus;sylvatica;SQUARE DU SERMENT DE KOUFRA;Arbre;Jardin;PARIS 14E ARRDT;14-09;00000174;315.0;15.0;Mature;Inconnue;''Atropunicea'';1700-01-01;01:09:49;OUI;48,8217882346;2,3228497157
120518.0;Pterocarya;Pterocarya;fraxinifolia;SQUARE LOUISE MICHEL / 6 PLACE SAINT PIERRE;Arbre;Jardin;PARIS 18E ARRDT;Le grand Talus;000504012;374.0;26.0;Mature;Inconnue;;1700-01-01;01:09:49;OUI;48,8860986781;2,3446801359
138935.0;Cedre;Cedrus;libani;SQUARE CLAUDE DEBUSSY / 51 AVENUE DU MARECHAL FAYOLLE;Arbre;Jardin;PARIS 16E ARRDT;16-24;000101001;220.0;6.0;Mature;Inconnue;''Glauca Pendula'';1700-01-01;01:09:49;OUI;48,8672280446;2,2702687556
2002380.0;Pin;Pinus;bungeana;ARBORETUM DE L ECOLE DU BREUIL - ROUTE DE LA FERME / ROUTE DE LA PYRAMIDE;Arbre;Jardin;BOIS DE VINCENNES;12-19;12-19;78.0;16.0;Adulte;Inconnue;;2000-01-01;02:00:00;OUI;48,8213206283;2,4553666959
